ZIP Code,Median Household Income
2115,53398
2116,127309
2118,90142
2119,43255
2120,61472
2121,38565
2122,82945
2124,79168
2125,71810
2126,67206
2127,156373
2128,92079
2129,157192
2130,130533
2131,109237
2132,139545
2134,75317
2135,88208
2136,96862
2152,106357
2163,74028
2199,118367
2210,178833
2215,65827
2467,173854
2151,80948
2210,178833
2110,123795
2109,128022
2108,95753
2114,79734
2111,44758
2113,64413
2150,72122
2201,119659
2171,104992
2142,168788
